Rating,Date,Content
Rating: 0,"Posted on March  7, 2023 by Robert Hsieh",Resident's unleased dog is always using the common areas as a toilet. Dog Faeces and Urine are not properly cleaned up .Dog is always chasing residents. Management never does...
Rating: 5,"Posted on March  6, 2023 by Mrs. Lee","Convenient side gate location which immediately leads you right next to SOTA. 7 minutes walk to Dhoby Ghaut MRT, 2 minutes walk from SMU. Wonderful neighbors and lovely..."
Rating: 4.3,"Posted on March  5, 2023 by Ah Jian",Resort feel environment & design. Very close to the beach. Tranquil place.
Rating: 5,"Posted on March  5, 2023 by Evelyn Sam","Convenient, practical, full privacy, bus stop just outside, walk to Keppel MRT, peaceful surroundings. Covered & well maintained lap pool, gym, bbq area, decent for inner-city..."
Rating: 1,"Posted on March  5, 2023 by JD DJ",Would not recommend staying here. Landlord of entire building (who stays on ground floor) does not give adequate privacy to residents. Questions your guests. Deliveries are not...
Rating: 5,"Posted on March  5, 2023 by Matthias Ong","Its been great. Nice little community. MA and Committee is good. Very windy and cool, plus a special little park unbeknown to many for your little daily walks or for kids to..."
Rating: 5,"Posted on March  5, 2023 by Sara Ramachandran",It’s a home. Relaxed n peaceful once u step into Le Royce. You can hardly hear the hustle n bustle of the outside environment. Friendly n helpful neighbours is a plus point...
Rating: 5,"Posted on March  4, 2023 by alice lim",Peaceful with lots of greenery. Good for kids' growing up environment with fresh air and plenty of trees for good eyesight. Family friendly location at an affordable price. No...
Rating: 4,"Posted on March  4, 2023 by Kai Kuan Chen",Location is very good. Close to good school and MRT station.  Private and quite. Freehold and good size well designed apartment. Master bedroom is very spacious.
Rating: 4,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc."
Rating: 4,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc."
Rating: 0,"Posted on March  2, 2023 by SP Ang","Many plus points about this project. This project is super windy. Wind is coming in from all directions. Throughout our stay since TOP, we have only switch on the aircon once or..."
Rating: 1.8,"Posted on March  1, 2023 by aniruddha maitra","Poorly maintained - water leakage, power disconnection. 36 hours of power outage"
Rating: 4.7,"Posted on March  1, 2023 by  ",Good location in District 9. Freehold & easy access to Newton & Novena MRT. Orchard Road shopping is just nearby. Short stroll to United Square & Novena Velocity / Square 2 for...
Rating: 0,"Posted on February 26, 2023 by  ","Everything good , perfect ! .. Got karaoke ,  got part time maid provided"
Rating: 5,"Posted on February 26, 2023 by Champ Eight",Ticks all the boxes for family living in a great location.
Rating: 5,"Posted on February 25, 2023 by Dorothy Neo","Considering the project is just at the borders of D11, the price that you are paying is definitely worth the investment. As compared to Domus, it has more functional layout. No..."
Rating: 0,"Posted on February 25, 2023 by CHEN SING",Amazing place to live in. The high ceiling is a big plus giving the feel of spaciousness and airiness in the unit. There is a mall right next to it which makes it all the more...
Rating: 2.7,"Posted on February 25, 2023 by Ax Ying","Convenient - near to many amenities: East Coast Park, Eateries, Supermarkets, Bus stops with many buses serving them, Near to Siglap MRT, quick access to ECP"
Rating: 1,"Posted on February 24, 2023 by  ","The condo has a small swimming pool and basketball court, a tennis court and a gym. The overall look of all facilities seem to be down and lack of maintenance. The pool is only..."
Rating: 3.7,"Posted on February 24, 2023 by Kelvin Teo",Layout functional & not much Wastage. Fit and Finishes good with marble. Fascade nicely design with Bee Hive Concept & colour. Lift & common area with Granite Stone on wall and...
Rating: 5,"Posted on February 22, 2023 by Harry Metamore",Turquoise is a very good location and peaceful locale. Facilities are all well maintained and very good condo management
Rating: 5,"Posted on February 22, 2023 by APGO Boss","Parc Rosewood is a modern and elegant condo with efficiently designed units. The common areas are impressive,  featuring a well-equipped gym, lots of swimming pools, a tennis..."
Rating: 5,"Posted on February 21, 2023 by Adeline Tan",Nice location
Rating: 1.3,"Posted on February 20, 2023 by Weiyi Lim","Some of the listings have unethical sellers who try to fish viewers and then at viewing, raise selling price beyond the advertised price. Beware. Especially the unit with the..."
Rating: 0.3,"Posted on February 19, 2023 by Steph Tan","Not worth the price for owning or renting the condo. Construction of new condos around the condo is very noisy for most of the day. No peace! Massive birds issue, with birds..."
Rating: 1.3,"Posted on February 19, 2023 by  ","Unrenovated unit is a nightmare, something has to break every month, and regular reno/fixing work either upstairs or downstairs. BBQ is a false advertisement as it's literally..."
Rating: 3.7,"Posted on February 18, 2023 by Jay Lim 林俊哲","Small development but located in a quiet neighbourhood, located near GCBA and also amenities around river valley area."
Rating: 1,"Posted on February 17, 2023 by Isabelle Larche",This condo is totally run down. The facilities are terrible. The pool is so old you can hurt yourself with the broken tiles and they only have 4 very old long chair. Common...
Rating: 0,"Posted on February 17, 2023 by Christine Ong",any Fully furnished  unit available?
Rating: 5,"Posted on February 17, 2023 by mavis gan",The landmark layout and super convenient location .  facing  greenery  at Pearl hill is the plus point
Rating: 5,"Posted on February 16, 2023 by Robert Fry",Amazing location for transport and city centre.  Increasingly gentrifying location with more and more trendy cafes and restaurants opening up mainly because of the nearby...
Rating: 4.3,"Posted on February 15, 2023 by Joseph Tan",Nice environment with its elegant touch. Traffic a bit jammed at guard house during peak hours. Ample of parking slots. Near MRT and amenities. Not crowded.
Rating: 4.8,"Posted on February 15, 2023 by Cherry Wong",I lived in this stunning condo located in a prime location for 2 years that I would highly recommend to anyone looking for a high-end living experience. This property is...
Rating: 3.8,"Posted on February 15, 2023 by Lim TK","Very nice residence place and worth the investment, but….. Nice place to stay and invest, nice facilities around the area, super convenient with so many malls, supermarkets,..."
Rating: 5,"Posted on February 14, 2023 by Kristabel Quek",Beautiful estate with kampong spirit and lovely neighbours! <3
Rating: 3.2,"Posted on February 14, 2023 by Junjie Zhu","The property management is poorly maintained, which is surprising. There are scattered leaves everywhere, moldy cloth sofas, wooden chairs that are about to break, uncleaned..."
Rating: 2.8,"Posted on February 13, 2023 by  ","Near Micron, community centre and market. These are creating a lot of noise, neighbours around kept singing karaoke almost everyday including weekends, off key and same songs...."
Rating: 5,"Posted on February 12, 2023 by gines springs","Great place to stay, near mrt and many eateries around"
Rating: 5,"Posted on February 12, 2023 by  ",good place
Rating: 0.8,"Posted on February 12, 2023 by  ","Condo right smack in the middle of the red-light district, many eateries and salons in the area"
Rating: 5,"Posted on February 12, 2023 by gines springs","Very good location, 3 mins walk to mrt, many eateries and easy access to city"
Rating: 0,"Posted on February 12, 2023 by gines springs",Many eateries and very near to mrt. Easy access to city area
Rating: 2.5,"Posted on February 12, 2023 by J Mc","Property is a treasure in terms of size of units and location, but management are outright hostile to residents, and controlling to the extreme. No eating on tables near the..."
Rating: 5,"Posted on February 11, 2023 by Stephane Michaud",An enclave of peace facing a leafy buddhist temple and close to churches. Quiet neighborhood close to the river with access to park connectors.
Rating: 3.7,"Posted on February 11, 2023 by selena lim","Fantastic location,  easy access to dining, transport to work , just 5mins walk to Parkway Shopping Centre and excellent selective schools...what more can you ask !"
Rating: 0,"Posted on February 11, 2023 by gines springs","Many eateries, Very near to mrt"
Rating: 5,"Posted on February 11, 2023 by  ","Visited friend here last week. Surrounding may be a bit chaotic with the eating houses nearby, and the entrance a bit hard to find. However, the building was very well kept...."
Rating: 1.3,"Posted on February 11, 2023 by Alan Donoghue",I've lived here for 18 months and in that time renovations have been constant. The sauna and steam room are permanently broken. The gym is very dated and equipment is not...
Rating: 4.3,"Posted on February 11, 2023 by Heng Lee Goh",Moving in with a new management and everything going well
Rating: 4.5,"Posted on February 10, 2023 by JOLENE TAN","Good sized apartments and rooms which are great for families. Private lifts in all units - only 2 unit per floor which provides owners with a lot of privacy. Friendly,..."
Rating: 5,"Posted on February 10, 2023 by Rahul Bhosale",Spacious living you can find only in this Condo
Rating: 5,"Posted on February 10, 2023 by Crystal Forest","Love the location, external and internal farcade. One of the few beautiful developments in District 10"
Rating: 5,"Posted on February 10, 2023 by  ","I had my reservations about One Shenton when I was preparing to make the purchase but I am glad I finally did. Real estate is all about location and for an investor like me, One..."
Rating: 4.3,"Posted on February  9, 2023 by Karan Gurnani",My wife and I stayed at one Shenton for over a year now and can’t be any happier! It is seriously unbeatable in terms of location and price. Highly recommended for expats like...
Rating: 5,"Posted on February  9, 2023 by Denise Keller","As a resident of One Shenton Condo, I can say without a doubt that this luxury apartment complex in the heart of Singapore's Central Business District (CBD) is a true gem. As a..."
Rating: 5,"Posted on February  9, 2023 by Robert Gaxiola","I have lived at One Shenton now as a renter for 3 years. The condo is kept so well, and the management always improves the grounds and amenities for children and families in the..."
Rating: 4.3,"Posted on February  9, 2023 by D L","Nice swimming pool, great location with nearby food stalls and market, nice residents"
Rating: 4.3,"Posted on February  9, 2023 by  ","Development is well kept for its age: the pool is large, seems more than 50m. Side gate opens to Pandan park connector! Nestled in private housing so there’s a shuttle bus..."
Rating: 4.8,"Posted on February  8, 2023 by Tanya Amador","As the size of apartments in Singapore get smaller, the value of the spaciousness of Hillcrest Arcadia cannot be beat. Surrounded by lush foliage and a community feeling of both..."
Rating: 1.3,"Posted on February  8, 2023 by George Tan",https://www.channelnewsasia.com/singapore/condo-council-members-sue-defamation-chairman-canopy-letter-mismanagement-dirty-estate-pet-parties-3262226
Rating: 4.2,"Posted on February  7, 2023 by  ","It’s a small condo, close to east coast park and nice amenities & cafes around."
Rating: 2.5,"Posted on February  6, 2023 by Christiane seemann","good: peaceful if unit facing pool side on level 3+ further away from traffic sounds. 
Stevens MRT & many buses within 200-300m away. 
Suitable for singles.
Close to Tanglin..."
Rating: 5,"Posted on February  5, 2023 by Doke kee",Happened to read comments comparing hazel park with hillview condo. I would think equally same. My concern for hillview is... I wonder if I can manage the up/down slope walking...
Rating: 3.8,"Posted on February  5, 2023 by Pippa Haley","Having lived here for 15 years, I know why  properties are so rarely on the market… it is a fabulous place to make a home. Superb links to nature and  very soon an MRT line..."
Rating: 4.5,"Posted on February  5, 2023 by  ","Very well maintained and managed. Sheltered carpark lots for residents and visitors. Gym, a small pool and BBQ area. Small development in a good location. Only 16 units with..."
Rating: 5,"Posted on February  5, 2023 by Kimberly Koh","Just started renting this amazingly maintained place a few months ago, what an incredible find!"
Rating: 5,"Posted on February  5, 2023 by Justin Tay","Been searching for a place in the east and West Coast for a long time, finally settled on this place and could not be happier"
Rating: 4.7,"Posted on February  5, 2023 by Lawrence Yong","We fell in love with this development during our first visit! 5mins walk to Mrt Station is so accessible to town. 
The common area space is so enormous with a super huge..."
Rating: 5,"Posted on February  3, 2023 by jenny jen",Very good… spacious facilities… worth to buy. Convenient near lrt and McDonald..24 hour supermarket
Rating: 3.3,"Posted on February  3, 2023 by Stanley Teo",Nice Place
Rating: 5,"Posted on February  2, 2023 by Niki K","The best part about this freehold is that it is conveniently located in a quiet street that is just steps away from Tanjong Pagar's best food/bar/cafes, public transportation..."
Rating: 5,"Posted on February  2, 2023 by Niki K",The Arris sits in a quiet street just steps away from the best restaurants and bars in Tanjong Pagar. It has a quiet park with a running track situated right in front of the...
Rating: 4.8,"Posted on February  2, 2023 by S TAN","Fantastic location, close to transport, eateries, retail outlets, entertainment (eg Singapore riverside Robertson Quay).  Facilities very decent, best feature is the swimming..."
Rating: 4.2,"Posted on February  2, 2023 by  ",Great location and accessibility to 2 train stations and buses. No issues with parking access. Also lots of food choices at lau pa Sat and food places around.
Rating: 1.5,"Posted on January 31, 2023 by Kathryn Bousfield","Excellent sized rooms, great grassy area and space downstairs for kids, close to East Coast park and lots of new bars and restaurants in siglap. Easy bus journey into CBD...."
Rating: 5,"Posted on January 31, 2023 by Cecilia Lim","Rare development in the middle of busy River Valley area with large grounds, big units and many facilities. Unbeatable location, walking distance to many eateries, malls,..."
Rating: 3,"Posted on January 31, 2023 by  ",An exclusive and cosy place for city living right in the heart of Singapore!
Rating: 5,"Posted on January 30, 2023 by Patrick Chua",You will enjoy the quiet and peaceful environment. Comes with decent swimming and gym.
Rating: 0.3,"Posted on January 30, 2023 by Serene L",I rented this condo for 2 years. The rental is very high but the facilities is very bad. The lift lobby is terrible and small. The lift always break down and the fire alarm...
Rating: 3.7,"Posted on January 30, 2023 by  ","Walking distance to shopping mall, NEX and nearby restaurants. A good size basement carpark caters to visitors/friends. Convenient."
Rating: 1.5,"Posted on January 30, 2023 by  ",Created this account to share how disappointed we have become with Rivergate.  We have lived here for several years but sadly will be moving on soon.  It used to be nice but...
Rating: 2.2,"Posted on January 30, 2023 by Tenant Tenant",Decent place but with no nearby amenities and transportation. Plus added MRT construction. Ideally running till end on 2024.
Rating: 5,"Posted on January 29, 2023 by Kelly Te",Peace and quiet Condo with great location.
Rating: 4.3,"Posted on January 28, 2023 by Weihsien Yow",Fantastic
Rating: 3.5,"Posted on January 28, 2023 by  ",A good property for investment and long term capital appreciation. It contains the accessibility to eateries and nearness to bus stop and Serangoon MRT. Not polluted nor noisy.
Rating: 0.3,"Posted on January 27, 2023 by Adric Kam",I've been renting here for 5 years and this project is very bad. There are two lifts in each block and only 1 lift goes down to the lobby and another need to walk thru the...
Rating: 0,"Posted on January 27, 2023 by  ",My friend’s unit looks out to Bishan Park and the view is scenic. However I personally find too much wasted corridor space at the entrance area and also the rooms can see...
Rating: 0,"Posted on January 27, 2023 by harvey wallbanger","Units are nice and spacious, but the management ruins the mood and livability, especially if you are non-Singaporean and/or have children. Rude, aggressive, archaic..."
Rating: 5,"Posted on January 26, 2023 by Koh Zhen Hon",Good location near MRT
Rating: 5,"Posted on January 26, 2023 by Koh Zhen Hon",Good location
Rating: 1.2,"Posted on January 26, 2023 by Aida Lim","The worst condo we’ve stayed in tbh. Like what everyone says, the ventilation here is nonexistent and your clothes DO get moulded fairly often. If you’re staying on the..."
Rating: 5,"Posted on January 26, 2023 by Marlin Xu","The Shaunessy has everything u need- space, ambience, quietness, vibrant community u name it...it has it. Price is worth every cent"
Rating: 5,"Posted on January 24, 2023 by Angela Peh","There are two MRT lines that can direct access to CBD, orchard and airport, there are two local top schools within 1k away from the condo, there are also korean international..."
Rating: 5,"Posted on January 24, 2023 by Aston Chow","After staying here for more than a year, my family and I have enjoyed the lifestyle here.

Estate is well-maintained by MA supervised by a passionate MC who comes up with..."
Rating: 5,"Posted on January 24, 2023 by Ng LT","Very peaceful and quiet condominium. Very convenient : near MRT, Shopping Mall,  Simei Park Connector , School , Hosiptal  and etc."
Rating: 5,"Posted on January 20, 2023 by Kunal Kundaje",Close to the MRT and shopping. Lifts are being renovated. The only condo i know of that has a rooftop social area. Close to nature and walking paths
Rating: 5,"Posted on January 20, 2023 by Ken Peh",Good location
Rating: 2.3,"Posted on January 20, 2023 by  ","Noisy playground area in internal courtyard to condo blocks. Any noise in the internal courtyard is heard by all 300 residents. Children scream in the courtyard morning,..."
Rating: 3.8,"Posted on January 20, 2023 by Andy Veilski","Rarely such free hold in good location with affordable quantum, and it's very close to both Eunos and Kembangan MRT so just one stop away to Paya Lebar exchange, and 15 mins to..."
Rating: 5,"Posted on January 18, 2023 by Jonathon Han",Literally 1 minute walk to nearest MRT. 3 MRT stops to CBD.
Rating: 0.8,"Posted on January 17, 2023 by Shein Agrawal",Those who have lived here for years can tell you the quality and conditions have steadily decreased.  Paint is peeling from interior and exterior walls.  Decking is broken and...
Rating: 4.3,"Posted on January 16, 2023 by Tan Yihao",Convenient location
Rating: 0.7,"Posted on January 13, 2023 by  ","If you have kids who love to play outdoors, Tropica is not a condo for you. It’s the most kids unfriendly condo I have come across. Kids are not allowed to even play in common..."
Rating: 2.8,"Posted on January 13, 2023 by Grace Geronimo","Stayed at block 3x .
Low floor, room facing street.
Some noise can be heard from below.
No dedicated storage room.
Had to chase my deposit as it wasn't returned within 14..."
Rating: 2,"Posted on January 12, 2023 by Adam Tan",An old looking condo with outdated design layout. Facilities are pretty rundown. The place need a facelift and facilities definitely need a n upgrade. It is also very noisy from...
Rating: 5,"Posted on January 12, 2023 by Benjamin Chin","Great location and transportation ,near town and NEX. Great living space and layout with full condo facilities. Easy to rent with international school at door step. The..."
Rating: 1.2,"Posted on January 11, 2023 by  ","RECENT REVIEW:  Rivergate units are priced similar to other high-end units in the area, but the facilities are very poorly managed and maintained.  Because very few units are..."
Rating: 0,"Posted on January 10, 2023 by Wu Haotian","Wrongly accuse tenant of throwing rubbish down the schute with no proof, forces tenant to pay 3000sgd. Loud renovation noises over bearable limit allowed causing baby to have a..."
Rating: 5,"Posted on January 10, 2023 by Abhi Bhagat","Location: Bang above Farrer Park MRT, Exit G, infact a condo cant nearer to an MRT station, Bus top on Serangoon 25 m away, City Square Mall is 50 m away, Farrer Hospital is 50..."
Rating: 3.2,"Posted on January  9, 2023 by  ","Good location, nearby food, Old unit, owner didn't maintain well. High floor 23rd but still noisy from CC, micron and carpark. Can get Dusty from nearby traffic."
Rating: 4.3,"Posted on January  9, 2023 by 卡卡西 Kakashi","Having staying here for the last 5 years, for this price...it is going to be hard to find other condos which offer similar facilities and plot area. 3 areas which offering..."
Rating: 2.2,"Posted on January  7, 2023 by Seng Choe Loke",1. Near Harbourfront mall. 2. Croaches and ants infested. 3. Overpopulated CoLiving(3 become 6 rooms). 3. Low water pressure. 4. Drainage problem-toilet smelly. 5. Old...
Rating: 0,"Posted on January  7, 2023 by  ","Condo is properly good for families with children but if you are an expat looking to have dinner gatherings in the balcony, barely anyone uses the balcony at night and neighbors..."
Rating: 4.3,"Posted on January  7, 2023 by Josline Lai","Nice Quiet condo.Mins walk to Novena,Newton & orchard.Lots of food option"
Rating: 4.5,"Posted on January  6, 2023 by Wing Seng Chan","This condo is tucked in a location easily accessible to the city area. With Tanjong Rhu MRT coming up, it will be a big boost to getting around. Lots of nice parks, activities..."
Rating: 5,"Posted on January  5, 2023 by Tan Soonchuan","A quiet surrounding with a prestige school at walkable distance.
8 min walk to the TEL mrt.
The facilities at the condo is also well maintained with a spacious carpark n a..."
Rating: 2.3,"Posted on January  4, 2023 by Alvine AGBO",Apartments near the AYE are very noisy. Flooding and water seeping are recurrent. Rooftop drains frequently clogged by growing plant and water leaks through light holes and...
Rating: 4.8,"Posted on January  4, 2023 by siddiq rahim","Luxury interior and exterior and landscape. Ample parking lot, Pool, BBQ . Shuttle bus services to two MRT stations. Nearby international and good schools. Green environment..."
Rating: 4.7,"Posted on January  4, 2023 by Joe Tay","The Clift is located near MRT, hawker center, numerous pubs and eateries making it a great place for expats working in the CBD as it makes it easy to chill and relax after work..."
Rating: 3,"Posted on January  3, 2023 by Sharon Kawai","Forest Hills Condo is surrounded with green landscape, just minutes walk to the springleaf nature park. The residents are cordial. It's a peace and quiet place to live in."
Rating: 4.2,"Posted on January  2, 2023 by Brenda Lee",Excellent for family and Asia expats
Rating: 1.8,"Posted on January  1, 2023 by  ",Cheap maintenance fee for a reason. I prefer to pay more for better upkeep of facility. Management standard is ...... Lol
Rating: 4.7,"Posted on December 31, 2022 by  ",Very quite and tranquil  this very suitable for living also the facilities like swimming pool very nice
Rating: 1.7,"Posted on December 30, 2022 by  ","Nice on the outside but once you step in, it is as if you are back in time to the 1980s. The place is old and it shows. Flats are big but weird layout. Whole place feels..."
Rating: 1.5,"Posted on December 30, 2022 by  ","Agent said area s tranquil and great for quiet living - WRONG! Place is far from everything. Need to walk everywhere without shelter. If you are new to Singapore, do not get..."
Rating: 1.7,"Posted on December 30, 2022 by Hallie B",Facilities are  perpetually occupied by tourists. Loud noise and dust from the construction right in front as well. Oily smog from the Lau Pat Sat right in front. Management and...
Rating: 4.2,"Posted on December 30, 2022 by Hallie B",As a single expat it is awesome. No need to worry about food as there are plenty of local and western eateries nearby. I barely cooked even though the one bedroom unit I rented...
Rating: 2.2,"Posted on December 28, 2022 by Cal Lightman","Stay away. Not worth the price - not even close. This building has very poor sound-proofing structure, inconsiderate residents, as well as incompetent and unresponsive..."
Rating: 4.7,"Posted on December 28, 2022 by M B",We had an amazing experience. We were on the 18th floor facing Shenton Way and Lau Pa Sat. The apartment was very well isolated despite the road noise. Indoor it was quiet and...
Rating: 4.5,"Posted on December 27, 2022 by Goh David","It is located 100m from Holland Village MRT station (Circle Line) & bus stop with 2 supermarkets, shopping centre, food centre, cafes, restaurants, banks, medical & dent..."
Rating: 5,"Posted on December 27, 2022 by  ","Resort style condo, long pool perfect location for working from home . Close to sea and beech. Many outdoor activities around"
Rating: 5,"Posted on December 27, 2022 by  ","Perfect for families or expats who like the sea beach , park . Great neighborhood, very close to amenities, restaurants, Gyms, library ,MRT. Early morning jogging, cycling and..."
Rating: 5,"Posted on December 27, 2022 by Sean McNulty","Twin Vew is a great condo for families. The location is convenient, with easy access to schools, shopping, and entertainment. The facilities are top-notch, with a pool, gym, and..."
Rating: 0,"Posted on December 26, 2022 by  ",Has any one received any updates from the developers on the status of the progress? It is past the date of vacant possession and there is no word still.
Rating: 4,"Posted on December 23, 2022 by Saw Guan Soo",Low density condominium with resort like living experience. Lots of amenities surrounding this area with the latest opening of Bkt Canberra. Walking distance to both Canberra...
Rating: 4.8,"Posted on December 21, 2022 by 一明 俞","Trilliant is the closest condo to Tampines MRT with 3 malls plus tampines hub within 10 min walking distance. The location is great, and it is very good for family with kids as..."
Rating: 5,"Posted on December 21, 2022 by Chenhong Ee",Pretty chill and peaceful
Rating: 5,"Posted on December 20, 2022 by Janell Tan",Went down to collect keys yesterday and the place is absolutelyyy beautiful. I particularly appreciate how the developer made extra thought to cater for the families with...
Rating: 4.7,"Posted on December 19, 2022 by Sheng Wei Pang","Excellent location, 3-mins walk to MRT and Junction 8, tons of amenities and schools nearby, mcst has been doing a good job with activities and maintenance"
Rating: 4,"Posted on December 19, 2022 by  ","Have been living here for some time. The best part of living here would be convenience, right behind is a coffee shop & 24 hr sheng Siong which is 3 mins walk. There are also..."
Rating: 1,"Posted on December 18, 2022 by  ","This is an overpriced condo, the condo facilities often gets closed for maintenance or repair and remain closed for quite sometime. Basement car park area looks run down and..."
Rating: 5,"Posted on December 16, 2022 by Tim Bradley Ho",Impressed with the facilities in this condo. Nice resort feel when enter the condo. Somewhat like resort ambiance and very peaceful atmosphere. Near to new TEL3 line and most...
Rating: 4.8,"Posted on December 16, 2022 by Dickson Low",Having a prestigious address sitting right on top of a MRT station is a rare find.  Plentiful of amenities around this area.
Rating: 4,"Posted on December 15, 2022 by  ","Love the spacious units and good value for money, foot path that link to pasir ris park is nice"
Rating: 5,"Posted on December 15, 2022 by valerie lee","I lived here before in a 1-bedroom apartment. The apartment is well-located, with a short 3 minutes walk to the Kovan MRT station and eateries right downstairs (and great durian..."
Rating: 3,"Posted on December 14, 2022 by Jeffrey Yoo",Easy travel to town and city area within minutes… direct buses to city area and walking distance to two nearby MRT too
Rating: 5,"Posted on December 13, 2022 by Selina Li",Good facility and convenience location
Rating: 2.5,"Posted on December 13, 2022 by Nicholas Poh",Good location
Rating: 5,"Posted on December 12, 2022 by royce te",very spacious home and conveniently located! good value home at a prestige location
Rating: 5,"Posted on December 12, 2022 by royce te",very spacious home and conveniently located! good value home at a prestige location
Rating: 4.3,"Posted on December 12, 2022 by  ",Green Environment which cant get it in others condo
Rating: 3.2,"Posted on December 12, 2022 by  ","Can see the improvement right now after Canberra Mall and MRT start operate on 2019, near to MRT, Shopping Mall, nearby HDB coffee shop and opposite is very nice Natural Green..."
Rating: 5,"Posted on December 12, 2022 by byond horizon",Quiet Neighborhood-Near to Schools- Food places
Rating: 5,"Posted on December 10, 2022 by Kelly",Prestige with only one block and units with great layout and spacious . Conveniently located near schools and supermarkets!
Rating: 3.5,"Posted on December  8, 2022 by Daniel Tan","Standard facilities like 50m swimming pool with jacuzzi, and a kid pool next to it. Nice indoor gym at level 2 overseeing the pool feels great. There is a tennis court which can..."
Rating: 5,"Posted on December  7, 2022 by Darren Tan",When i learnt about this project when it launched it caught my eye as it was a gem hidden within the southern part of Singapore. Low rise condos are not common nowadays where...
Rating: 3.3,"Posted on December  6, 2022 by Family Guy","Great Location - 10 - 15 mins walk to ACS Junior and SJI, Pek Kio Hawker Center and United Square. Near city centre and CBD via buses and Novena/ Little India MRT.    Noise is..."
Rating: 5,"Posted on December  4, 2022 by Aryan GUPTA MANCHANDA (10U)",It's a marvelous place to live
Rating: 4,"Posted on December  4, 2022 by Dorcas Floral","Easy Access to CTE, TPE, SLE & PIE"
Rating: 5,"Posted on December  3, 2022 by  ",Small but clean and beautiful condominium. The place is very well kept. This place is surrounded by many famous eateries. Cheap food and NTUC are also available at the nearby...
Rating: 5,"Posted on December  3, 2022 by  ","This place is just next to City Square Mall and Farrer Park MRT, therefore dining, shopping and watching movies is just 2-3 minute walk.  There are also many buses available...."
Rating: 2.2,"Posted on December  3, 2022 by Aditya Kumar","Easily accessible bus stop - starting point for 11 & 158 route
Indian grocery & restaurant - within the condo
Good fitness activities - Tennis & squash courts, Sizable..."
Rating: 3.7,"Posted on December  3, 2022 by Neish Chan","This condo is so near to LRT station, community club, shopping mall, hawker center and river park. The facilities and landscaping is top notch as well. Security is very..."
Rating: 4.7,"Posted on December  3, 2022 by t a","Small development that is peaceful and tranquil. Basic facilities ie swim pool, BBQ and small playground that serve my needs as i do not like large development crowded with..."
Rating: 1.5,"Posted on December  2, 2022 by ET YH","this building is so old, and it shows. there's only a pool that's worth talking about, while the gym is tiny and the function room is just a room. the one and only BBQ pit is..."
Rating: 4.3,"Posted on December  1, 2022 by n0lispe",Convenient location with undercover paths to Bus Stops to town
Rating: 4.3,"Posted on December  1, 2022 by Abhay Bhat",Meets everyday needs
Rating: 4.2,"Posted on December  1, 2022 by Kelly",Spacious home with good layout and convenient location
Rating: 2.2,"Posted on November 30, 2022 by  ","The condo could be very nice if not its weird rules towards dogs, that are allowed to pee and defecate at common areas and near the common pool. Owners do not care about..."
