Name,Rating,Date,Content
Eco Sanctuary,Rating: 3.7,"Posted on February 24, 2023 by Kelvin Teo",Layout functional & not much Wastage. Fit and Finishes good with marble. Fascade nicely design with Bee Hive Concept & colour. Lift & common area with Granite Stone on wall and...
Turquoise,Rating: 5,"Posted on February 22, 2023 by Harry Metamore",Turquoise is a very good location and peaceful locale. Facilities are all well maintained and very good condo management
Parc Rosewood,Rating: 5,"Posted on February 22, 2023 by APGO Boss","Parc Rosewood is a modern and elegant condo with efficiently designed units. The common areas are impressive,  featuring a well-equipped gym, lots of swimming pools, a tennis..."
Stratum,Rating: 5,"Posted on February 21, 2023 by Adeline Tan",Nice location
Skysuites @ Anson,Rating: 1.3,"Posted on February 20, 2023 by Weiyi Lim","Some of the listings have unethical sellers who try to fish viewers and then at viewing, raise selling price beyond the advertised price. Beware. Especially the unit with the..."
Newton 18,Rating: 0.3,"Posted on February 19, 2023 by Steph Tan","Not worth the price for owning or renting the condo. Construction of new condos around the condo is very noisy for most of the day. No peace! Massive birds issue, with birds..."
Sommerville Grandeur,Rating: 1.3,"Posted on February 19, 2023 by  ","Unrenovated unit is a nightmare, something has to break every month, and regular reno/fixing work either upstairs or downstairs. BBQ is a false advertisement as it's literally..."
Seven Holt Road,Rating: 3.7,"Posted on February 18, 2023 by Jay Lim 林俊哲","Small development but located in a quiet neighbourhood, located near GCBA and also amenities around river valley area."
D'Grove Villas,Rating: 1,"Posted on February 17, 2023 by Isabelle Larche",This condo is totally run down. The facilities are terrible. The pool is so old you can hurt yourself with the broken tiles and they only have 4 very old long chair. Common...
Dahlia Park Condo,Rating: 0,"Posted on February 17, 2023 by Christine Ong",any Fully furnished  unit available?
The Landmark,Rating: 5,"Posted on February 17, 2023 by mavis gan",The landmark layout and super convenient location .  facing  greenery  at Pearl hill is the plus point
Suites 123,Rating: 5,"Posted on February 16, 2023 by Robert Fry",Amazing location for transport and city centre.  Increasingly gentrifying location with more and more trendy cafes and restaurants opening up mainly because of the nearby...
Echelon,Rating: 4.3,"Posted on February 15, 2023 by Joseph Tan",Nice environment with its elegant touch. Traffic a bit jammed at guard house during peak hours. Ample of parking slots. Near MRT and amenities. Not crowded.
Jade Garden,Rating: 4.8,"Posted on February 15, 2023 by Cherry Wong",I lived in this stunning condo located in a prime location for 2 years that I would highly recommend to anyone looking for a high-end living experience. This property is...
Park Place Residences,Rating: 3.8,"Posted on February 15, 2023 by Lim TK","Very nice residence place and worth the investment, but….. Nice place to stay and invest, nice facilities around the area, super convenient with so many malls, supermarkets,..."
Selegie House,Rating: 5,"Posted on February 14, 2023 by Kristabel Quek",Beautiful estate with kampong spirit and lovely neighbours! <3
The Crest,Rating: 3.2,"Posted on February 14, 2023 by Junjie Zhu","The property management is poorly maintained, which is surprising. There are scattered leaves everywhere, moldy cloth sofas, wooden chairs that are about to break, uncleaned..."
26 Bendemeer Road,Rating: 2.8,"Posted on February 13, 2023 by  ","Near Micron, community centre and market. These are creating a lot of noise, neighbours around kept singing karaoke almost everyday including weekends, off key and same songs...."
Centra Studios,Rating: 5,"Posted on February 12, 2023 by gines springs","Great place to stay, near mrt and many eateries around"
Gallop Gables,Rating: 5,"Posted on February 12, 2023 by  ",good place
Le Regal,Rating: 0.8,"Posted on February 12, 2023 by  ","Condo right smack in the middle of the red-light district, many eateries and salons in the area"
Centra Studios,Rating: 5,"Posted on February 12, 2023 by gines springs","Very good location, 3 mins walk to mrt, many eateries and easy access to city"
Centra Studios,Rating: 0,"Posted on February 12, 2023 by gines springs",Many eateries and very near to mrt. Easy access to city area
Ocean Park,Rating: 2.5,"Posted on February 12, 2023 by J Mc","Property is a treasure in terms of size of units and location, but management are outright hostile to residents, and controlling to the extreme. No eating on tables near the..."
Airstream,Rating: 5,"Posted on February 11, 2023 by Stephane Michaud",An enclave of peace facing a leafy buddhist temple and close to churches. Quiet neighborhood close to the river with access to park connectors.
East View,Rating: 3.7,"Posted on February 11, 2023 by selena lim","Fantastic location,  easy access to dining, transport to work , just 5mins walk to Parkway Shopping Centre and excellent selective schools...what more can you ask !"
Centra Studios,Rating: 0,"Posted on February 11, 2023 by gines springs","Many eateries, Very near to mrt"
Suites @ Kovan,Rating: 5,"Posted on February 11, 2023 by  ","Visited friend here last week. Surrounding may be a bit chaotic with the eating houses nearby, and the entrance a bit hard to find. However, the building was very well kept...."
Mill Point,Rating: 1.3,"Posted on February 11, 2023 by Alan Donoghue",I've lived here for 18 months and in that time renovations have been constant. The sauna and steam room are permanently broken. The gym is very dated and equipment is not...
The Springfield,Rating: 4.3,"Posted on February 11, 2023 by Heng Lee Goh",Moving in with a new management and everything going well
Ecoville,Rating: 4.5,"Posted on February 10, 2023 by JOLENE TAN","Good sized apartments and rooms which are great for families. Private lifts in all units - only 2 unit per floor which provides owners with a lot of privacy. Friendly,..."
Melville Park,Rating: 5,"Posted on February 10, 2023 by Rahul Bhosale",Spacious living you can find only in this Condo
Fourth Avenue Residences,Rating: 5,"Posted on February 10, 2023 by Crystal Forest","Love the location, external and internal farcade. One of the few beautiful developments in District 10"
One Shenton,Rating: 5,"Posted on February 10, 2023 by  ","I had my reservations about One Shenton when I was preparing to make the purchase but I am glad I finally did. Real estate is all about location and for an investor like me, One..."
One Shenton,Rating: 4.3,"Posted on February  9, 2023 by Karan Gurnani",My wife and I stayed at one Shenton for over a year now and can’t be any happier! It is seriously unbeatable in terms of location and price. Highly recommended for expats like...
One Shenton,Rating: 5,"Posted on February  9, 2023 by Denise Keller","As a resident of One Shenton Condo, I can say without a doubt that this luxury apartment complex in the heart of Singapore's Central Business District (CBD) is a true gem. As a..."
One Shenton,Rating: 5,"Posted on February  9, 2023 by Robert Gaxiola","I have lived at One Shenton now as a renter for 3 years. The condo is kept so well, and the management always improves the grounds and amenities for children and families in the..."
The Stellar,Rating: 4.3,"Posted on February  9, 2023 by D L","Nice swimming pool, great location with nearby food stalls and market, nice residents"
Faber Crest,Rating: 4.3,"Posted on February  9, 2023 by  ","Development is well kept for its age: the pool is large, seems more than 50m. Side gate opens to Pandan park connector! Nestled in private housing so there’s a shuttle bus..."
Hillcrest Arcadia,Rating: 4.8,"Posted on February  8, 2023 by Tanya Amador","As the size of apartments in Singapore get smaller, the value of the spaciousness of Hillcrest Arcadia cannot be beat. Surrounded by lush foliage and a community feeling of both..."
The Canopy,Rating: 1.3,"Posted on February  8, 2023 by George Tan",https://www.channelnewsasia.com/singapore/condo-council-members-sue-defamation-chairman-canopy-letter-mismanagement-dirty-estate-pet-parties-3262226
The Champagne,Rating: 4.2,"Posted on February  7, 2023 by  ","It’s a small condo, close to east coast park and nice amenities & cafes around."
Loft @ Stevens,Rating: 2.5,"Posted on February  6, 2023 by Christiane seemann","good: peaceful if unit facing pool side on level 3+ further away from traffic sounds. 
Stevens MRT & many buses within 200-300m away. 
Suitable for singles.
Close to Tanglin..."
Hazel Park Condo,Rating: 5,"Posted on February  5, 2023 by Doke kee",Happened to read comments comparing hazel park with hillview condo. I would think equally same. My concern for hillview is... I wonder if I can manage the up/down slope walking...
Symphony Heights,Rating: 3.8,"Posted on February  5, 2023 by Pippa Haley","Having lived here for 15 years, I know why  properties are so rarely on the market… it is a fabulous place to make a home. Superb links to nature and  very soon an MRT line..."
Cadence Light,Rating: 4.5,"Posted on February  5, 2023 by  ","Very well maintained and managed. Sheltered carpark lots for residents and visitors. Gym, a small pool and BBQ area. Small development in a good location. Only 16 units with..."
Spottiswoode Residences,Rating: 5,"Posted on February  5, 2023 by Kimberly Koh","Just started renting this amazingly maintained place a few months ago, what an incredible find!"
Spottiswoode Residences,Rating: 5,"Posted on February  5, 2023 by Justin Tay","Been searching for a place in the east and West Coast for a long time, finally settled on this place and could not be happier"
Aquarius By The Park,Rating: 4.7,"Posted on February  5, 2023 by Lawrence Yong","We fell in love with this development during our first visit! 5mins walk to Mrt Station is so accessible to town. 
The common area space is so enormous with a super huge..."
Sol Acres,Rating: 5,"Posted on February  3, 2023 by jenny jen",Very good… spacious facilities… worth to buy. Convenient near lrt and McDonald..24 hour supermarket
The Plaza,Rating: 3.3,"Posted on February  3, 2023 by Stanley Teo",Nice Place
The Arris,Rating: 5,"Posted on February  2, 2023 by Niki K","The best part about this freehold is that it is conveniently located in a quiet street that is just steps away from Tanjong Pagar's best food/bar/cafes, public transportation..."
The Arris,Rating: 5,"Posted on February  2, 2023 by Niki K",The Arris sits in a quiet street just steps away from the best restaurants and bars in Tanjong Pagar. It has a quiet park with a running track situated right in front of the...
Waterford Residence,Rating: 4.8,"Posted on February  2, 2023 by S TAN","Fantastic location, close to transport, eateries, retail outlets, entertainment (eg Singapore riverside Robertson Quay).  Facilities very decent, best feature is the swimming..."
Robinson Suites,Rating: 4.2,"Posted on February  2, 2023 by  ",Great location and accessibility to 2 train stations and buses. No issues with parking access. Also lots of food choices at lau pa Sat and food places around.
Ocean Park,Rating: 1.5,"Posted on January 31, 2023 by Kathryn Bousfield","Excellent sized rooms, great grassy area and space downstairs for kids, close to East Coast park and lots of new bars and restaurants in siglap. Easy bus journey into CBD...."
Valley Park,Rating: 5,"Posted on January 31, 2023 by Cecilia Lim","Rare development in the middle of busy River Valley area with large grounds, big units and many facilities. Unbeatable location, walking distance to many eateries, malls,..."
Kasturina Lodge,Rating: 3,"Posted on January 31, 2023 by  ",An exclusive and cosy place for city living right in the heart of Singapore!
The Florentine,Rating: 5,"Posted on January 30, 2023 by Patrick Chua",You will enjoy the quiet and peaceful environment. Comes with decent swimming and gym.
Kingsford Waterbay,Rating: 0.3,"Posted on January 30, 2023 by Serene L",I rented this condo for 2 years. The rental is very high but the facilities is very bad. The lift lobby is terrible and small. The lift always break down and the fire alarm...
Space @ Kovan,Rating: 3.7,"Posted on January 30, 2023 by  ","Walking distance to shopping mall, NEX and nearby restaurants. A good size basement carpark caters to visitors/friends. Convenient."
Rivergate,Rating: 1.5,"Posted on January 30, 2023 by  ",Created this account to share how disappointed we have become with Rivergate.  We have lived here for several years but sadly will be moving on soon.  It used to be nice but...
The Belvedere,Rating: 2.2,"Posted on January 30, 2023 by Tenant Tenant",Decent place but with no nearby amenities and transportation. Plus added MRT construction. Ideally running till end on 2024.
Gloucester Mansions,Rating: 5,"Posted on January 29, 2023 by Kelly Te",Peace and quiet Condo with great location.
The Warren,Rating: 4.3,"Posted on January 28, 2023 by Weihsien Yow",Fantastic
Space @ Kovan,Rating: 3.5,"Posted on January 28, 2023 by  ",A good property for investment and long term capital appreciation. It contains the accessibility to eateries and nearness to bus stop and Serangoon MRT. Not polluted nor noisy.
Kingsford Waterbay,Rating: 0.3,"Posted on January 27, 2023 by Adric Kam",I've been renting here for 5 years and this project is very bad. There are two lifts in each block and only 1 lift goes down to the lobby and another need to walk thru the...
Clover By The Park,Rating: 0,"Posted on January 27, 2023 by  ",My friend’s unit looks out to Bishan Park and the view is scenic. However I personally find too much wasted corridor space at the entrance area and also the rooms can see...
Ocean Park,Rating: 0,"Posted on January 27, 2023 by harvey wallbanger","Units are nice and spacious, but the management ruins the mood and livability, especially if you are non-Singaporean and/or have children. Rude, aggressive, archaic..."
Pioneer Junction,Rating: 5,"Posted on January 26, 2023 by Koh Zhen Hon",Good location near MRT
58 Seng Poh Road,Rating: 5,"Posted on January 26, 2023 by Koh Zhen Hon",Good location
Marina One Residences,Rating: 1.2,"Posted on January 26, 2023 by Aida Lim","The worst condo we’ve stayed in tbh. Like what everyone says, the ventilation here is nonexistent and your clothes DO get moulded fairly often. If you’re staying on the..."
The Shaughnessy,Rating: 5,"Posted on January 26, 2023 by Marlin Xu","The Shaunessy has everything u need- space, ambience, quietness, vibrant community u name it...it has it. Price is worth every cent"
Jade Garden,Rating: 5,"Posted on January 24, 2023 by Angela Peh","There are two MRT lines that can direct access to CBD, orchard and airport, there are two local top schools within 1k away from the condo, there are also korean international..."
Ecopolitan,Rating: 5,"Posted on January 24, 2023 by Aston Chow","After staying here for more than a year, my family and I have enjoyed the lifestyle here.

Estate is well-maintained by MA supervised by a passionate MC who comes up with..."
Tropical Spring,Rating: 5,"Posted on January 24, 2023 by Ng LT","Very peaceful and quiet condominium. Very convenient : near MRT, Shopping Mall,  Simei Park Connector , School , Hosiptal  and etc."
Tanjong Ria Condominium,Rating: 5,"Posted on January 20, 2023 by Kunal Kundaje",Close to the MRT and shopping. Lifts are being renovated. The only condo i know of that has a rooftop social area. Close to nature and walking paths
One Fort,Rating: 5,"Posted on January 20, 2023 by Ken Peh",Good location
Waterford Residence,Rating: 2.3,"Posted on January 20, 2023 by  ","Noisy playground area in internal courtyard to condo blocks. Any noise in the internal courtyard is heard by all 300 residents. Children scream in the courtyard morning,..."
The Ebony,Rating: 3.8,"Posted on January 20, 2023 by Andy Veilski","Rarely such free hold in good location with affordable quantum, and it's very close to both Eunos and Kembangan MRT so just one stop away to Paya Lebar exchange, and 15 mins to..."
636 Veerasamy Road,Rating: 5,"Posted on January 18, 2023 by Jonathon Han",Literally 1 minute walk to nearest MRT. 3 MRT stops to CBD.
Rivergate,Rating: 0.8,"Posted on January 17, 2023 by Shein Agrawal",Those who have lived here for years can tell you the quality and conditions have steadily decreased.  Paint is peeling from interior and exterior walls.  Decking is broken and...
Canne Lodge,Rating: 4.3,"Posted on January 16, 2023 by Tan Yihao",Convenient location
The Tropica,Rating: 0.7,"Posted on January 13, 2023 by  ","If you have kids who love to play outdoors, Tropica is not a condo for you. It’s the most kids unfriendly condo I have come across. Kids are not allowed to even play in common..."
Versilia On Haig,Rating: 2.8,"Posted on January 13, 2023 by Grace Geronimo","Stayed at block 3x .
Low floor, room facing street.
Some noise can be heard from below.
No dedicated storage room.
Had to chase my deposit as it wasn't returned within 14..."
Trellis Towers,Rating: 2,"Posted on January 12, 2023 by Adam Tan",An old looking condo with outdated design layout. Facilities are pretty rundown. The place need a facelift and facilities definitely need a n upgrade. It is also very noisy from...
8 @ Woodleigh,Rating: 5,"Posted on January 12, 2023 by Benjamin Chin","Great location and transportation ,near town and NEX. Great living space and layout with full condo facilities. Easy to rent with international school at door step. The..."
Rivergate,Rating: 1.2,"Posted on January 11, 2023 by  ","RECENT REVIEW:  Rivergate units are priced similar to other high-end units in the area, but the facilities are very poorly managed and maintained.  Because very few units are..."
Cape Royale,Rating: 0,"Posted on January 10, 2023 by Wu Haotian","Wrongly accuse tenant of throwing rubbish down the schute with no proof, forces tenant to pay 3000sgd. Loud renovation noises over bearable limit allowed causing baby to have a..."
Uptown @ Farrer,Rating: 5,"Posted on January 10, 2023 by Abhi Bhagat","Location: Bang above Farrer Park MRT, Exit G, infact a condo cant nearer to an MRT station, Bus top on Serangoon 25 m away, City Square Mall is 50 m away, Farrer Hospital is 50..."
26 Bendemeer Road,Rating: 3.2,"Posted on January  9, 2023 by  ","Good location, nearby food, Old unit, owner didn't maintain well. High floor 23rd but still noisy from CC, micron and carpark. Can get Dusty from nearby traffic."
Bellewaters,Rating: 4.3,"Posted on January  9, 2023 by 卡卡西 Kakashi","Having staying here for the last 5 years, for this price...it is going to be hard to find other condos which offer similar facilities and plot area. 3 areas which offering..."
Harbourlights,Rating: 2.2,"Posted on January  7, 2023 by Seng Choe Loke",1. Near Harbourfront mall. 2. Croaches and ants infested. 3. Overpopulated CoLiving(3 become 6 rooms). 3. Low water pressure. 4. Drainage problem-toilet smelly. 5. Old...
Duchess Residences,Rating: 0,"Posted on January  7, 2023 by  ","Condo is properly good for families with children but if you are an expat looking to have dinner gatherings in the balcony, barely anyone uses the balcony at night and neighbors..."
Gloucester Mansions,Rating: 4.3,"Posted on January  7, 2023 by Josline Lai","Nice Quiet condo.Mins walk to Novena,Newton & orchard.Lots of food option"
Sanctuary Green,Rating: 4.5,"Posted on January  6, 2023 by Wing Seng Chan","This condo is tucked in a location easily accessible to the city area. With Tanjong Rhu MRT coming up, it will be a big boost to getting around. Lots of nice parks, activities..."
The Panorama,Rating: 5,"Posted on January  5, 2023 by Tan Soonchuan","A quiet surrounding with a prestige school at walkable distance.
8 min walk to the TEL mrt.
The facilities at the condo is also well maintained with a spacious carpark n a..."
NEWest,Rating: 2.3,"Posted on January  4, 2023 by Alvine AGBO",Apartments near the AYE are very noisy. Flooding and water seeping are recurrent. Rooftop drains frequently clogged by growing plant and water leaks through light holes and...
The Tapestry,Rating: 4.8,"Posted on January  4, 2023 by siddiq rahim","Luxury interior and exterior and landscape. Ample parking lot, Pool, BBQ . Shuttle bus services to two MRT stations. Nearby international and good schools. Green environment..."
The Clift,Rating: 4.7,"Posted on January  4, 2023 by Joe Tay","The Clift is located near MRT, hawker center, numerous pubs and eateries making it a great place for expats working in the CBD as it makes it easy to chill and relax after work..."
Forest Hills Condo,Rating: 3,"Posted on January  3, 2023 by Sharon Kawai","Forest Hills Condo is surrounded with green landscape, just minutes walk to the springleaf nature park. The residents are cordial. It's a peace and quiet place to live in."
Ascentia Sky,Rating: 4.2,"Posted on January  2, 2023 by Brenda Lee",Excellent for family and Asia expats
City Square Residences,Rating: 1.8,"Posted on January  1, 2023 by  ",Cheap maintenance fee for a reason. I prefer to pay more for better upkeep of facility. Management standard is ...... Lol
Flamingo Valley,Rating: 4.7,"Posted on December 31, 2022 by  ",Very quite and tranquil  this very suitable for living also the facilities like swimming pool very nice
UE Square,Rating: 1.7,"Posted on December 30, 2022 by  ","Nice on the outside but once you step in, it is as if you are back in time to the 1980s. The place is old and it shows. Flats are big but weird layout. Whole place feels..."
Spottiswoode Residences,Rating: 1.5,"Posted on December 30, 2022 by  ","Agent said area s tranquil and great for quiet living - WRONG! Place is far from everything. Need to walk everywhere without shelter. If you are new to Singapore, do not get..."
Robinson Suites,Rating: 1.7,"Posted on December 30, 2022 by Hallie B",Facilities are  perpetually occupied by tourists. Loud noise and dust from the construction right in front as well. Oily smog from the Lau Pat Sat right in front. Management and...
Suites @ Kovan,Rating: 4.2,"Posted on December 30, 2022 by Hallie B",As a single expat it is awesome. No need to worry about food as there are plenty of local and western eateries nearby. I barely cooked even though the one bedroom unit I rented...
V on Shenton,Rating: 2.2,"Posted on December 28, 2022 by Cal Lightman","Stay away. Not worth the price - not even close. This building has very poor sound-proofing structure, inconsiderate residents, as well as incompetent and unresponsive..."
One Shenton,Rating: 4.7,"Posted on December 28, 2022 by M B",We had an amazing experience. We were on the 18th floor facing Shenton Way and Lau Pa Sat. The apartment was very well isolated despite the road noise. Indoor it was quiet and...
The Merasaga,Rating: 4.5,"Posted on December 27, 2022 by Goh David","It is located 100m from Holland Village MRT station (Circle Line) & bus stop with 2 supermarkets, shopping centre, food centre, cafes, restaurants, banks, medical & dent..."
Ripple Bay,Rating: 5,"Posted on December 27, 2022 by  ","Resort style condo, long pool perfect location for working from home . Close to sea and beech. Many outdoor activities around"
Ripple Bay,Rating: 5,"Posted on December 27, 2022 by  ","Perfect for families or expats who like the sea beach , park . Great neighborhood, very close to amenities, restaurants, Gyms, library ,MRT. Early morning jogging, cycling and..."
Twin VEW,Rating: 5,"Posted on December 27, 2022 by Sean McNulty","Twin Vew is a great condo for families. The location is convenient, with easy access to schools, shopping, and entertainment. The facilities are top-notch, with a pool, gym, and..."
Coastline Residences,Rating: 0,"Posted on December 26, 2022 by  ",Has any one received any updates from the developers on the status of the progress? It is past the date of vacant possession and there is no word still.
Canberra Residences,Rating: 4,"Posted on December 23, 2022 by Saw Guan Soo",Low density condominium with resort like living experience. Lots of amenities surrounding this area with the latest opening of Bkt Canberra. Walking distance to both Canberra...
The Tampines Trilliant,Rating: 4.8,"Posted on December 21, 2022 by 一明 俞","Trilliant is the closest condo to Tampines MRT with 3 malls plus tampines hub within 10 min walking distance. The location is great, and it is very good for family with kids as..."
Parc Rosewood,Rating: 5,"Posted on December 21, 2022 by Chenhong Ee",Pretty chill and peaceful
JadeScape,Rating: 5,"Posted on December 20, 2022 by Janell Tan",Went down to collect keys yesterday and the place is absolutelyyy beautiful. I particularly appreciate how the developer made extra thought to cater for the families with...
Sky Vue,Rating: 4.7,"Posted on December 19, 2022 by Sheng Wei Pang","Excellent location, 3-mins walk to MRT and Junction 8, tons of amenities and schools nearby, mcst has been doing a good job with activities and maintenance"
Le Crescendo,Rating: 4,"Posted on December 19, 2022 by  ","Have been living here for some time. The best part of living here would be convenience, right behind is a coffee shop & 24 hr sheng Siong which is 3 mins walk. There are also..."
The Parc Condominium,Rating: 1,"Posted on December 18, 2022 by  ","This is an overpriced condo, the condo facilities often gets closed for maintenance or repair and remain closed for quite sometime. Basement car park area looks run down and..."
Parc Rosewood,Rating: 5,"Posted on December 16, 2022 by Tim Bradley Ho",Impressed with the facilities in this condo. Nice resort feel when enter the condo. Somewhat like resort ambiance and very peaceful atmosphere. Near to new TEL3 line and most...
Fourth Avenue Residences,Rating: 4.8,"Posted on December 16, 2022 by Dickson Low",Having a prestigious address sitting right on top of a MRT station is a rare find.  Plentiful of amenities around this area.
D'Elias,Rating: 4,"Posted on December 15, 2022 by  ","Love the spacious units and good value for money, foot path that link to pasir ris park is nice"
Suites @ Kovan,Rating: 5,"Posted on December 15, 2022 by valerie lee","I lived here before in a 1-bedroom apartment. The apartment is well-located, with a short 3 minutes walk to the Kovan MRT station and eateries right downstairs (and great durian..."
Harbour View Gardens,Rating: 3,"Posted on December 14, 2022 by Jeffrey Yoo",Easy travel to town and city area within minutes… direct buses to city area and walking distance to two nearby MRT too
Astoria Park,Rating: 5,"Posted on December 13, 2022 by Selina Li",Good facility and convenience location
North Park Residences,Rating: 2.5,"Posted on December 13, 2022 by Nicholas Poh",Good location
The Lincoln Residences,Rating: 5,"Posted on December 12, 2022 by royce te",very spacious home and conveniently located! good value home at a prestige location
Gloucester Mansions,Rating: 5,"Posted on December 12, 2022 by royce te",very spacious home and conveniently located! good value home at a prestige location
Eight Courtyards,Rating: 4.3,"Posted on December 12, 2022 by  ",Green Environment which cant get it in others condo
