,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
191,Echelon,0,0,0,0,0
192,Westwood Residences,0.789989981,0.495824615,0.687707626,0.424285991,0.964509904
193,Waterfall Gardens,0,0,0,0,0
194,Soleil @ Sinaran,0,0,0,0,0
195,Westpoint Condominium,0,0,0,0,0
196,Guilin View,0,0,0,0,0
197,Seastrand,0,0,0,0,0
198,The Berth By The Cove,0,0,0,0,0
199,The Sea View,0,0,0,0,0
200,Haig Court,0.868421708,-0.225361049,0.37336072,0.337844094,0.333240191
201,Southaven I,0.816160358,0.996781975,0.697409749,-0.308999836,0.985286315
202,Azalea Park Condominium,0,0,0,0,0
203,Nouvel 18,0.78200178,0.899298509,0.601896545,0.471619835,0.663225591
204,One Devonshire,0.742898378,0.200367594,0.385937019,-0.393125629,-0.548800521
205,Duchess Manor,0,0,0,0,0
206,The Nautical,0.35496752,0.384324188,0.248851442,0.15266854,0.334164075
207,The Seawind,0.805223921,0.799297416,0.738818031,0.187849542,0.750121795
208,Gardenville,0.795203623,0.332793236,0.506365048,-0.242262155,0.333591004
209,Leedon Residence,0.583708518,0.499664523,0.41573917,0.286004356,0.417549046
210,Ris Grandeur,0,0,0,0,0
211,One Amber,0,0,0,0,0
212,La Fiesta,0,0,0,0,0
213,Parc Stevens,0,0,0,0,0
214,Park East,0,0,0,0,0
215,iNZ Residence,0.79480474,0.34486949,0.539540149,0.747921798,0.999687076
216,Eight Riversuites,0,0,0,0,0
217,SunGlade,0,0,0,0,0
218,The Beaumont,0.749263827,0.499703959,0.457366885,0.499051943,0.55535382
219,The Minton,0.485490718,0.263772296,0.380630229,0.050971371,-0.379934669
220,Urbana,0,0,0,0,0
221,Euro-Asia Park,0,0,0,0,0
222,Cashew Heights Condominium,0.859712803,0.999268115,0.379937174,-0.187434208,-0.997041434
223,Lorong 5 Toa Payoh,0.750138305,0.999124587,0.596728321,-0.963344425,0.999678771
224,The Palette,0,0,0,0,0
225,Urban Vista,0,0,0,0,0
226,The Glyndebourne,0,0,0,0,0
227,Laguna Green,0,0,0,0,0
228,Holland 100,0,0,0,0,0
229,The Makena,0,0,0,0,0
230,Grandeur Park Residences,0.754062713,0.620954251,0.660507459,0.011126667,0.998645425
231,Yishun Emerald,0,0,0,0,0
232,Duchess Crest,0,0,0,0,0
233,Watercrest,0.397316756,0.000658883,0.653164188,0.248274995,0.504340746
234,Gilstead Court,0,0,0,0,0
235,Twin Waterfalls,0,0,0,0,0
236,Changi Court,0,0,0,0,0
237,The Coast at Sentosa Cove,0,0,0,0,0
238,Central Grove,0,0,0,0,0
239,Hundred Trees,0,0,0,0,0
240,Park Infinia At Wee Nam,0.542846075,0.490672531,0.500066057,-0.185404432,0.012170956
241,Harbour View Towers,0,0,0,0,0
242,Ardmore Park,0,0,0,0,0
243,Blue Horizon,0,0,0,0,0
244,The Anchorage,0,0,0,0,0
245,Arc at Tampines,0,0,0,0,0
246,Shunfu Road,0,0,0,0,0
247,Tiara,0.643401396,0.498897001,0.528011103,0.270243329,-0.418919333
248,The Estuary,0.650472288,0.429735452,0.308610386,0.046439787,0.143151712
249,Seletar Park Residence,0,0,0,0,0
250,Skies Miltonia,0,0,0,0,0
251,Principal Garden,0.866190393,0.369407538,0.678062871,0.696254762,0.542975044
252,Park Colonial,0.725524118,0.660488114,0.670861248,0.496616045,0.991946578
253,Le Crescendo,0,0,0,0,0
254,Q Bay Residences,0,0,0,0,0
255,368 Thomson,0,0,0,0,0
256,Summerdale,0,0,0,0,0
257,The Jovell,0,0,0,0,0
258,Archipelago,0,0,0,0,0
259,d'Nest,0,0,0,0,0
260,Grandeur 8,0,0,0,0,0
261,Water Place,0,0,0,0,0
262,Skyline 360 @ Saint Thomas Walk,0,0,0,0,0
263,Melville Park,0.747582242,0.720481217,0.247729526,-0.309000631,0.71048075
264,Tree House,0,0,0,0,0
265,Sage,0,0,0,0,0
266,The Rise @ Oxley,0.866939172,0.332416455,0.725935446,0.214405596,0.999687314
267,Parc Emily,0,0,0,0,0
268,Charlton Lane,0,0,0,0,0
269,The Shelford,0,0,0,0,0
270,Bishan 8,0.889591014,-0.570424497,0.423875122,-0.309405645,-0.010632306
271,Meraprime,0,0,0,0,0
272,Seasons Park,0,0,0,0,0
273,Dynasty Garden,0,0,0,0,0
274,Buckley Classique,0,0,0,0,0
275,La Casa,0.358092453,0.599546182,0.614103664,0.452887923,0.692111657
276,The Eden At Tampines,0,0,0,0,0
277,The Warren,0.802990727,-0.497997358,0.534450211,0.505173142,0.500340134
278,Eastern Lagoon,0,0,0,0,0
279,The Grandhill,0,0,0,0,0
280,Waterfront Gold,0,0,0,0,0
281,Tribeca,0,0,0,0,0
282,Kerrisdale,0,0,0,0,0
283,Sophia Hills,0,0,0,0,0
284,8 Saint Thomas,0,0,0,0,0
285,Westmere,0,0,0,0,0
286,The Florida,0,0,0,0,0
287,Tresalveo,0,0,0,0,0
288,The Sixth Avenue Residences,0,0,0,0,0
289,Bellewoods,0,0,0,0,0
290,The Metropolitan Condominium,0.81856144,0.999658942,0.602969825,0.200779629,0.999662817
291,Belmond Green,0,0,0,0,0
292,Floridian,0.575962856,0.513319541,0.566590981,0.463843495,0.000625807
293,Belysa,0,0,0,0,0
294,The Claymore,0.680773148,0.438657717,0.572713698,0.561247327,0.713922569
295,Leonie Gardens,0,0,0,0,0
296,Summerhill,0.866149139,-0.332314968,0.577566011,0.26865103,0.250069633
297,Thomson 800,0,0,0,0,0
298,Ecopolitan,0.727219486,0.99968338,0.787916432,-0.186033332,0.999685943
299,Vista Residences,0.712832943,0.999679446,0.647436059,0.210379696,0.99968036
